Date,Open,High,Low,Close
18/05 10:50,22481.9,22481.9,22481.9,22481.9
18/05 10:45,22481.9,22481.9,22481.9,22481.9
18/05 10:40,22481.9,22481.9,22481.9,22481.9
18/05 10:35,22481.9,22481.9,22481.9,22481.9
18/05 10:30,22481.9,22481.9,22481.9,22481.9
18/05 10:25,22481.9,22481.9,22481.9,22481.9
18/05 10:20,22481.9,22481.9,22481.9,22481.9
18/05 10:15,22481.9,22481.9,22481.9,22481.9
18/05 10:10,22481.9,22481.9,22481.9,22481.9
18/05 10:05,22481.9,22481.9,22481.9,22481.9
18/05 10:00,22481.9,22520.25,22470.05,22481.9
18/05 09:55,22483.25,22484.5,22470.1,22482.25
18/05 09:50,22503.05,22510.65,22480.5,22482.05
18/05 09:45,22510.2,22512.5,22499.7,22503.1
18/05 09:40,22511.65,22513.8,22508.65,22509.45
18/05 09:35,22514.85,22516.95,22510.15,22512.25
18/05 09:30,22511.95,22518.8,22511.25,22515
18/05 09:25,22505.9,22514.5,22504.85,22512.05
18/05 09:20,22505.45,22510.6,22504.25,22505.95
18/05 09:15,22512.85,22519.85,22495.7,22505.7
17/05 15:25,22472.15,22482.4,22461,22465.55
17/05 15:20,22474,22476.7,22462.3,22471.55
17/05 15:15,22473.4,22485.75,22467,22474.1
17/05 15:10,22461.05,22474.8,22454.6,22474.4
17/05 15:05,22456.7,22462.35,22444.45,22461.1
17/05 15:00,22464.7,22466.2,22443.5,22458.45
17/05 14:55,22473.25,22473.8,22460.15,22463.4
17/05 14:50,22478.3,22480.65,22467.8,22473.15
17/05 14:45,22477.3,22480.4,22466.4,22478.15
17/05 14:40,22486.4,22491.55,22475.95,22477.4
17/05 14:35,22478.7,22490.2,22475.85,22486.25
17/05 14:30,22469.8,22481.7,22466.8,22478.2
17/05 14:25,22477.5,22482.45,22466.4,22469.65
17/05 14:20,22468.8,22481,22468.05,22477.55
17/05 14:15,22483.1,22488.45,22466.1,22469.15
17/05 14:10,22488.55,22491.15,22482.05,22482.1
17/05 14:05,22486.55,22493.3,22481.65,22488.55
17/05 14:00,22473.2,22492.15,22472.65,22486.35
17/05 13:55,22477.65,22481.75,22472.3,22472.8
17/05 13:50,22483.95,22485.45,22469.7,22477.65
17/05 13:45,22475.15,22487.9,22474.6,22483.4
17/05 13:40,22476.1,22481,22472.7,22475.3
17/05 13:35,22500.35,22500.35,22470.4,22475.45
17/05 13:30,22484.75,22502.15,22455.8,22500.2
17/05 13:25,22481.9,22487.1,22479.1,22483.6
17/05 13:20,22476.7,22482.4,22474.1,22481.45
17/05 13:15,22474,22483.7,22467.85,22476.25
17/05 13:10,22460.85,22479,22460.85,22474.6
17/05 13:05,22452.8,22469.95,22449.65,22461.3
17/05 13:00,22463.3,22466.1,22441.45,22453.1
17/05 12:55,22470.05,22471,22450.85,22464.2
17/05 12:50,22472.6,22474.9,22466.3,22470.05
17/05 12:45,22474.2,22477.55,22467.05,22472.05
17/05 12:40,22480.85,22486.45,22472.9,22474.35
17/05 12:35,22480.2,22482.9,22475.95,22480.2
17/05 12:30,22477.45,22484.65,22471.35,22479.95
17/05 12:25,22478.7,22485.2,22476.65,22477.4
17/05 12:20,22470.1,22481.65,22469.7,22478.85
17/05 12:15,22458.55,22472.45,22456.75,22470
17/05 12:10,22474.55,22479.45,22453.7,22458.1
17/05 12:05,22474.15,22474.15,22464.8,22473.2
17/05 12:00,22480.75,22482.1,22467.25,22473.15
17/05 11:55,22485.6,22488.85,22474.05,22480.85
17/05 11:50,22486.15,22490.8,22481.15,22486.4
17/05 11:45,22484.1,22486.95,22475.8,22486.95
17/05 11:40,22467.5,22485,22466.8,22483.5
17/05 11:35,22463.15,22470.75,22462.05,22467.45
17/05 11:30,22459.3,22466,22454.85,22463.4
17/05 11:25,22469.15,22471.9,22441.5,22459.2
17/05 11:20,22472.6,22473.9,22459.4,22469.2
17/05 11:15,22469.2,22479.15,22466.2,22472.35
17/05 11:10,22459.65,22473.7,22451.65,22469.3
17/05 11:05,22465.1,22468.35,22455.45,22459.3
17/05 11:00,22457.9,22469.4,22450.3,22464.45
17/05 10:55,22447.8,22464.65,22444.8,22458.75
17/05 10:50,22432.05,22453.65,22432.05,22447.15
17/05 10:45,22457.95,22464.1,22425.35,22430.15
17/05 10:40,22447.15,22460.05,22441.85,22458
17/05 10:35,22443.25,22471.65,22439.1,22447.1
17/05 10:30,22429.15,22450.6,22425,22443.9
17/05 10:25,22410.4,22439.1,22409.2,22429.6
17/05 10:20,22401.4,22415.1,22390.45,22410.6
17/05 10:15,22390.85,22404.2,22382.75,22402.1
17/05 10:10,22407.75,22409.9,22388.6,22391.8
17/05 10:05,22407.45,22417.9,22370.1,22407.95
17/05 10:00,22407.2,22411.85,22397.1,22407.8
17/05 09:55,22386.5,22420.2,22379.25,22407.05
17/05 09:50,22356.95,22389.3,22351.65,22386.2
17/05 09:45,22358.9,22372.75,22352.95,22357
17/05 09:40,22359.15,22368.4,22345.65,22359.25
17/05 09:35,22375,22379.75,22358.45,22359.1
17/05 09:30,22376.3,22400.35,22352.75,22374.25
17/05 09:25,22365,22381.7,22353.05,22376.65
17/05 09:20,22393.25,22397.2,22357.55,22363.75
